DriverName,LapNum,Timestamp,LapTime,LapTimeMins,S1,S2,S3,S1Mins,S2Mins,S3Mins
Yuval Rosen,269,1682774143,40469,00:40.469,5347,26744,8378,00:05.347,00:26.744,00:08.378
yarimalk23,100,1682608507,40470,00:40.470,5977,26649,7844,00:05.977,00:26.649,00:07.844
serbansim,160,1682771446,40470,00:40.470,5442,27238,7790,00:05.442,00:27.238,00:07.790
leviarnon1,65,1682790269,40471,00:40.471,5515,27175,7781,00:05.515,00:27.175,00:07.781
tomerventura,102,1682796909,40473,00:40.473,5584,27140,7749,00:05.584,00:27.140,00:07.749
tomerventura,130,1682798393,40473,00:40.473,5575,27112,7786,00:05.575,00:27.112,00:07.786
Ori Arish,62,1682613439,40473,00:40.473,5463,27013,7997,00:05.463,00:27.013,00:07.997
TAL S,68,1682790207,40474,00:40.474,5433,27332,7709,00:05.433,00:27.332,00:07.709
ShimiC,172,1682785682,40474,00:40.474,5433,27256,7785,00:05.433,00:27.256,00:07.785
Ariel,64,1682785424,40476,00:40.476,5430,27103,7943,00:05.430,00:27.103,00:07.943
tomerventura,182,1682801440,40478,00:40.478,5612,27095,7771,00:05.612,00:27.095,00:07.771
Y.Cohen,5,1682538458,40479,00:40.479,5594,27001,7884,00:05.594,00:27.001,00:07.884
Y.Cohen,251,1682698332,40480,00:40.480,5443,27297,7740,00:05.443,00:27.297,00:07.740
U.V,109,1682623921,40482,00:40.482,5534,27054,7894,00:05.534,00:27.054,00:07.894
leviarnon1,58,1682789962,40485,00:40.485,5421,27283,7781,00:05.421,00:27.283,00:07.781
yarin levi,66,1682771892,40487,00:40.487,5482,27220,7785,00:05.482,00:27.220,00:07.785
U.V,57,1682619626,40488,00:40.488,5559,27045,7884,00:05.559,00:27.045,00:07.884
Ido,129,1682789970,40491,00:40.491,5687,26982,7822,00:05.687,00:26.982,00:07.822
Y.Cohen,256,1682698535,40494,00:40.494,5394,27422,7678,00:05.394,00:27.422,00:07.678
Yoni Goldberg,112,1682707502,40495,00:40.495,5490,27189,7816,00:05.490,00:27.189,00:07.816
tomerventura,178,1682801275,40495,00:40.495,5481,27243,7771,00:05.481,00:27.243,00:07.771
